,Branch,Branch Long,Branch Lat,Customer,Address Long,Address Lat,Distance (miles),Rank,Customer Priority
0,London,-0.109863,51.481383,1,0.74707,51.549751,37.19,1.0,40.0
1,London,-0.109863,51.481383,2,0.406494,51.957807,39.69,1.0,42.0
2,London,-0.109863,51.481383,3,-0.142822,50.833698,44.82,1.0,43.0
7,London,-0.109863,51.481383,8,1.296387,52.61639,98.69,1.0,50.0
25,London,-0.109863,51.481383,26,1.494141,52.308479,89.22,1.0,49.0
27,London,-0.109863,51.481383,28,0.922852,52.456009,80.5,1.0,48.0
49,London,-0.109863,51.481383,50,-0.944824,51.055207,46.63,1.0,44.0
52,London,-0.109863,51.481383,53,-0.549316,51.76784,27.36,1.0,34.0
53,London,-0.109863,51.481383,54,-0.241699,51.6998,16.13,1.0,20.0
54,London,-0.109863,51.481383,55,-0.32959,51.508742,9.65,1.0,10.0
55,London,-0.109863,51.481383,56,0.0,51.618017,10.57,1.0,12.0
56,London,-0.109863,51.481383,57,-0.549316,51.37178,20.41,1.0,24.0
57,London,-0.109863,51.481383,58,-0.043945,51.481383,2.84,1.0,1.0
58,London,-0.109863,51.481383,59,-0.461426,51.385495,16.55,1.0,21.0
59,London,-0.109863,51.481383,60,-0.637207,51.440313,22.9,1.0,28.0
60,London,-0.109863,51.481383,61,-0.263672,51.522416,7.2,1.0,5.0
68,London,-0.109863,51.481383,69,-0.197754,51.37178,8.48,1.0,9.0
69,London,-0.109863,51.481383,70,-0.043945,51.206883,19.2,1.0,23.0
73,London,-0.109863,51.481383,74,-0.065918,51.658927,12.42,1.0,17.0
74,London,-0.109863,51.481383,75,0.461426,51.795027,32.74,1.0,38.0
79,London,-0.109863,51.481383,80,-0.549316,51.795027,28.75,1.0,35.0
81,London,-0.109863,51.481383,82,0.043945,51.193115,21.02,1.0,26.0
84,London,-0.109863,51.481383,85,-0.571289,51.220647,26.88,1.0,33.0
85,London,-0.109863,51.481383,86,-0.241699,52.241256,52.86,1.0,47.0
87,London,-0.109863,51.481383,88,0.351563,51.604372,21.6,1.0,27.0
91,London,-0.109863,51.481383,92,0.41748,51.412912,23.22,1.0,29.0
92,London,-0.109863,51.481383,93,0.966797,51.179343,51.0,1.0,45.0
93,London,-0.109863,51.481383,94,0.571289,51.138001,37.83,1.0,41.0
95,London,-0.109863,51.481383,96,0.021973,51.903613,29.75,1.0,36.0
102,London,-0.109863,51.481383,103,-0.32959,51.138001,25.58,1.0,32.0
103,London,-0.109863,51.481383,104,-0.505371,51.041394,34.92,1.0,39.0
105,London,-0.109863,51.481383,106,-0.549316,51.69299,23.89,1.0,30.0
106,London,-0.109863,51.481383,107,-0.450439,51.76784,24.63,1.0,31.0
107,London,-0.109863,51.481383,108,-0.291138,51.460852,7.94,1.0,6.0
108,London,-0.109863,51.481383,109,-0.140076,51.595842,8.02,1.0,7.0
110,London,-0.109863,51.481383,111,0.016479,51.390637,8.31,1.0,8.0
111,London,-0.109863,51.481383,112,0.20874,51.703204,20.56,1.0,25.0
112,London,-0.109863,51.481383,113,0.134583,51.445449,10.82,1.0,13.0
113,London,-0.109863,51.481383,114,0.593262,51.628248,31.9,1.0,37.0
114,London,-0.109863,51.481383,115,0.906372,51.908696,52.65,1.0,46.0
115,London,-0.109863,51.481383,116,-0.365295,51.47283,11.02,1.0,14.0
116,London,-0.109863,51.481383,117,-0.450439,51.517289,14.87,1.0,19.0
117,London,-0.109863,51.481383,118,-0.392761,51.595842,14.52,1.0,18.0
